Price,Year,Power(HP),Mileage(KM),Description,Link,Fuel_type
3479000,2013,140,279000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Highline BMT DSG NAVI.PDC.DIGITKLÍMA.AUTO-HOLD.TEMPOMAT.!!MEGKÍMÉLT!!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_highline_bmt_dsg_navipdcdigitklimaauto-holdtempomatmegkimelt-18686783#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3489000,2012,140,243191,VOLKSWAGEN PASSAT Variant 2.0 CR TDI Comfortline BMT DSG 2 TONNÁS VONÓHOROG! AUTOMATA VÁLTÓ! DIGITÁLIS KLÍMA!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_cr_tdi_comfortline_bmt_dsg_2_tonnas_vonohorog_automata_valto_digitalis_klima-18680349#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3490000,2014,140,311000,VOLKSWAGEN PASSAT VII 2.0 CR TDI Highline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_highline_bmt_dsg-18579315#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3490000,2012,160,233000,VOLKSWAGEN PASSAT Variant 1.8 TSI Highline DSG Téli-nyári kerékgarnitúrával,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_1.8_tsi_highline_dsg_teli-nyari_kerekgarnituraval-18660112#sid=f9598264-20fa-4401-b13e-3263355e48e5,Benzin
3490000,2014,140,358000,VOLKSWAGEN PASSAT VII 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_comfortline_bmt_dsg-18606475#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3490000,2012,140,245540,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG / Kétz. Digit. Klíma/ NAVI/ Multi. kormány/ Tempomat/ Sötétedő külső-belső tükőr,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg_ketz_digit_klima_navi_multi_kormany_tempomat_sotetedo_kulso-belso_tukor-18303888#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3548000,2014,140,278000,VOLKSWAGEN PASSAT VII 2.0 CR TDI Comfortline BMT 3c,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_comfortline_bmt_3c-18645800#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3600000,2012,150,287600,VOLKSWAGEN PASSAT 1.4 TSI EcoFuel,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_1.4_tsi_ecofuel-18713553#sid=f9598264-20fa-4401-b13e-3263355e48e5,Benzin
3790000,2013,122,235601,VOLKSWAGEN PASSAT Variant 1.4 TSI Comfortline DSG //BENZINES// DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_1.4_tsi_comfortline_dsg_benzines_dsg-18710143#sid=f9598264-20fa-4401-b13e-3263355e48e5,Benzin
3800000,2013,169,183200,VOLKSWAGEN PASSAT VII 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_comfortline_bmt_dsg-18716132#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
